id,task,task_type,status,depends_on,task_dir,write_scope,claimed_by,claimed_at,lease_until,next_hint,acceptance_criteria,validation_command,completed_at,retry_count,notes
1,Phase A — Signal Schema 收缩到 description+candidate+bye,single-full,DONE,,tasks/01-signal-schema,shared/src/pairing/pairingSignal.ts;shared/src/pairing/pairingSignal.test.ts,,,,2,新 schema 单测全过；旧 schema 仍并行存在；shared 包 build/test 绿,bun run --cwd shared typecheck && bun run --cwd shared test -t pairingSignal,2026-05-12T18:13:13Z,0,新文件先并行存在不删旧；旧消费方仍走旧 schema
2,Phase B — PerfectNegotiation engine 共享内核,single-full,DONE,1,tasks/02-perfect-negotiation,shared/src/pairing/perfectNegotiation.ts;shared/src/pairing/perfectNegotiation.test.ts,,,,3,W3C cases 全覆盖（initial / glare / ICE restart / candidate before SDP / rollback）；engine ≤80 行,bun run --cwd shared test -t perfectNegotiation,2026-05-12T18:18:48Z,0,严格对齐 MDN Perfect_negotiation 样板
3,Phase C — createPairingTransport 双端共用,single-full,DONE,1;2,tasks/03-pairing-transport,shared/src/pairing/pairingTransport.ts;shared/src/pairing/pairingTransport.test.ts,,,,4,host+guest 双端共用；mock RTCPeerConnection + mock WebSocket 跑 full lifecycle 单测通过；≤200 行,bun run --cwd shared test -t pairingTransport,2026-05-12T18:25:09Z,0,先不接 desktop/web 真链路；只产出库
4,Phase D — Broker 退化为纯 forwarder （D+E+F 协调发布）,single-full,DONE,1,tasks/04-broker-forwarder,pairing/src/ws.ts;pairing/src/wsSupport.ts;pairing/src/wsDisconnectGrace.ts;pairing/src/wsTypes.ts;pairing/src/ws.test.ts;pairing/src/storeSupport.ts;pairing/src/memoryStore.ts,,,,5,新 forwarder 单测通过；ws.ts ≤120 行；删 emitReady/emitState/emitPeerLeft；broker session state 收缩为 active/deleted/expired；未发 prod，需与 E+F 同时上。,bun run --cwd pairing test,2026-05-12T18:40:57Z,0,DONE. D/E/F coordinated release only; not deployed to prod.
5,Phase E — 桌面 bridge 切到 createPairingTransport （D+E+F 协调发布）,single-full,DONE,3;4,tasks/05-desktop-bridge,desktop/src/lib/pairingBridge*.ts;desktop/src/lib/pairingBridgeController.ts;desktop/src/lib/pairingBridgeControllerSupport.ts;desktop/src/lib/pairingBridgeSignalSocket.ts;desktop/src/lib/pairingBridgeSignalSupport.ts;desktop/src/lib/pairingBridgeIceCandidates.ts;desktop/src/lib/pairingBridgeIceRecovery.ts;desktop/src/lib/pairingBridgeChannelHealth.ts;desktop/src/lib/pairingBridgeRecovery.ts;desktop/src/lib/pairingBridgeRuntimeSupport.ts;desktop/src/lib/pairingBridgeState.ts;desktop/src/lib/pairingBridgeStatsSupport.ts;desktop/src/lib/pairingBridgeTransportSupport.ts;desktop/src/lib/pairingBridgeSupport.ts;desktop/src/lib/pairingBridgeTelemetrySupport.ts;desktop/src/lib/pairingBridgeTerminalEvent.ts;desktop/src/lib/pairingBridgeCore.ts,,,,6,bridge 重写后单测全过；first-claim + 息屏 RM2+RM3 + 网络切换 RM4 + Hub 重启 RM7 真机通过；合计 ≤600 行,bun run --cwd desktop typecheck && bun run --cwd desktop test,2026-05-12T18:49:41Z,0,DONE. RM1/RM3/RM4/RM7/RM8 deferred to phase K bulk run.
6,Phase F — Web RemotePeerSession + Controller 重写 （D+E+F 协调发布）,single-full,DONE,3;4,tasks/06-web-peer-session,web/src/remote/RemotePeerSession.ts;web/src/remote/remotePairingTransport.ts;web/src/remote/remotePairingNegotiation.ts;web/src/remote/remotePairingSignal.ts;web/src/remote/remotePairingSignalTimers.ts;web/src/remote/remotePairingDataChannelHealth.ts;web/src/remote/remotePairingPeerDisconnect.ts;web/src/remote/remotePairingLivenessProbe.ts;web/src/remote/remotePairingForegroundSignalAck.ts;web/src/remote/remotePairingPendingRequests.ts;web/src/remote/remotePairingTransportBridge.ts;web/src/remote/remotePairingTransportSupport.ts;web/src/remote/remotePairingBridgeTypes.ts;web/src/remote/remotePairingChannelMessages.ts;web/src/remote/remotePairingStats.ts;web/src/remote/remotePairingBinaryUpload.ts;web/src/remote/RemotePairingController.tsx;web/src/remote/remotePairingViewModel.tsx;web/src/remote/remotePairingReconnectLoop.ts;web/src/remote/remotePairingRecovery.ts;web/src/remote/remotePairingErrors.ts,,,,7,Session 单测；first-claim + 刷新 RM5 + 息屏 RM2/RM3 + PWA RM6 真机通过；session 文件 ≤200 行;controller ≤200 行,bun run --cwd web typecheck && bun run --cwd web test && bun run --cwd web build,2026-05-12T18:59:20Z,0,DONE. RM1/RM2/RM3/RM5/RM6/RM8/RM10 deferred to phase K bulk run.
7,Phase G — UI 3 态 + retainedReady IDB hydrate,single-full,DONE,6,tasks/07-ui-state-machine,web/src/remote/RemotePairingPersistence.ts;web/src/remote/RemotePairingController.tsx;web/src/remote/remotePairingViewModel.tsx;web/src/remote/RemotePairingStatusScreen.tsx,,,,8,刷新页面 RM5 0 全屏 boot；状态机仅 first-pairing/running/fatal 三态；compact reconnect notice 复用现有 PERSISTENT_NOTICE_IDS,bun run --cwd web typecheck && bun run --cwd web test -t RemotePairingPersistence && bun run --cwd web test -t RemotePairingController,2026-05-12T19:21:29Z,0,DONE. RM5 real-device deferred to Phase K bulk run.
8,Phase H — Timing 常量清理 + 无限退避,single-full,DONE,5;6,tasks/08-timing-cleanup,shared/src/pairing/pairingTiming.ts;shared/src/pairing/pairingTiming.test.ts;web/src/remote/remotePairingReconnectLoop.ts,,,,9,删 PAIRING_REMOTE_RECONNECT_MAX_ATTEMPTS / PAIRING_BOOT_STUCK_RESCUE_MS / PAIRING_CONNECT_TIMEOUT_MS；指数退避带 jitter；RM9 真机通过,bun run --cwd shared test -t pairingTiming && bun run --cwd web test -t RemotePeerSession,2026-05-12T19:42:16Z,0,DONE. RM9 real-device deferred to Phase K bulk run.
9,Phase I — Bridge / Hub 状态解耦,single-full,DONE,5,tasks/09-bridge-hub-decouple,desktop/src/hooks/usePairingBridges.ts;desktop/src/hooks/usePairingBridges.test.ts,,,,10,hubRuntimeKey 不再作为 useEffect 依赖；bridge 内部通过 ref/getter 拿最新 status；RM7 真机 5s 不抖,bun run --cwd desktop test -t usePairingBridges,2026-05-12T19:58:00Z,0,DONE. RM7 real-device deferred to Phase K bulk run.
10,Phase J — Presence 事实源迁移 + scan presence 退役,single-full,DONE,5;9,tasks/10-presence-migration,desktop/src/components/DeviceCount.tsx;desktop/src/lib/pairingPresenceSync.ts;desktop/src/lib/deviceLinkBadge.ts;desktop/src/lib/deviceListPresentation.ts;hub/src/web/routes/deviceAuth.ts;hub/src/web/routes/deviceAuthRoutes.ts;hub/src/sync/devicePresenceTracker.ts;hub/src/sync/deviceAuthService.ts;shared/src/deviceAuth/*,,,,11,popover 直接读 bridge phase；删 pairingPresenceSync.ts 整文件；hub 删除 scan-channel presence 路径；link/local channel presence 保留;RM7+RM11 真机通过,bun run --cwd desktop test && bun run --cwd hub test,2026-05-12T20:01:54Z,0,DONE. RM7/RM11 real-device deferred to Phase K bulk run.
